"strains.ID_strains","strains.Culture collection no.","strains.Species","strains.Strain Designation","strains_tax_PNU.Species","strains_tax_PNU.Full Scientific Name (LPSN)","strains_tax_PNU.ID_reference","strains_taxid.tax_id","strains_taxid.tax_level","culture_temp.Temperature","culture_temp.ID_reference","culture_pH.pH","culture_pH.ID_reference","met_antibiogram_v2.Incubation temperature [°C]","met_antibiogram_v2.Oxygen condition","met_antibiogram_v2.ID_reference","oxygen_tolerance.Oxygen tolerance","oxygen_tolerance.ID_reference","nutrition_type.Nutrition type","nutrition_type.ID_reference","sequence_genomes.INSDC accession","sequence_genomes.BV-BRC accession","sequence_genomes.IMG accession","sequence_genomes.ID_reference","GC_content.GC-content","GC_content.ID_reference","Zc"
81,"DSM 19999, VKM B-2488","Acidisoma tundrae","WM1","Acidisoma tundrae","Acidisoma tundrae Belova et al. 2009",20215,512382,"species",20,8416,5.25,22964,NA,NA,NA,"obligate aerobe",22964,"chemoorganotroph",22964,"",NA,NA,NA,61.9,8416,NA
160797,"DSM 107098, JCM 33084","Acidithiobacillus ferrianus","MG","Acidithiobacillus ferrianus","Acidithiobacillus ferrianus Norris et al. 2020",20215,2678518,"species",30,67734,2,68324,NA,NA,NA,"facultative anaerobe",68324,"chemolithoautotroph",68324,"GCA_010378095",2678518.3,2895580592,67770,58.2,67734,-0.148028
132357,"DSM 100412, JCM 30830","Acidithiobacillus ferriphilus","M20","Acidithiobacillus ferriphilus","Acidithiobacillus ferriphilus Falagán and Johnson 2016",20215,1689834,"species",30,43830,2,43830,NA,NA,NA,"facultative anaerobe",43830,"chemolithotroph",43830,"GCA_018854775",1689834.8,NA,66792,57.4,43830,-0.149168
159192,"DSM 105150, KCTC 4683","Acidithiobacillus sulfuriphilus","CJ-2","Acidithiobacillus sulfuriphilus","Acidithiobacillus sulfuriphilus Falagán et al. 2019",20215,1867749,"species",28,66015,3,68181,NA,NA,NA,"aerobe",67771,"chemolithoautotroph",68181,"GCA_003721225",1867749.3,2840828123,68181,61.5,66015,-0.147691
133033,"DSM 27394, LMG 28340","Acidobacterium ailaaui","PMMR2","Acidobacterium ailaaui","Acidobacterium ailaaui Myers and King 2016",20215,1382359,"species",35,25069,5.75,25069,NA,NA,NA,"aerobe",25069,"chemoorganotroph",25069,"GCA_000688455",1382359.3,2558860986,66792,57.2,25069,-0.141369
141146,"CGMCC 1.16012, KCTC 52653, DSM 109121","Actibacterium pelagium","JN33","Actibacterium pelagium","Actibacterium pelagium Guo et al. 2017",20215,2029103,"species",22.5,44067,7.5,44067,NA,NA,NA,"aerobe",44067,"chemoorganotroph",44067,"GCA_002285415",2029103.3,2832254508,66792,57.8,44067,-0.145013
166411,"KACC 15529, NBRC 108213, IMCC 3088","Aequoribacter fuscus","","Aequoribacter fuscus","Aequoribacter fuscus Li et al. 2021",20215,2518989,"species",22.5,68362,7.25,68362,NA,NA,NA,"obligate aerobe",68362,"chemoheterotroph",68362,"GCA_009910365",2518989.3,8062752921,68362,51.7,68362,-0.141757
5477,"DSM 14238, ACAM 643, CIP 107454, LMG 21432","Aequorivita sublithincola","9-3","Aequorivita sublithincola","Aequorivita sublithincola Bowman and Nichols 2002",20215,101385,"species",6,5266,7.25,43341,NA,NA,NA,"obligate aerobe",43341,"chemoheterotroph",43341,"GCA_000265385",746697.3,2509276063,66792,36.5,5266,-0.182678
258,"DSM 11577, CECT 4342, LMG 16330, CIP 104608, ATCC 51929","Aeromonas encheleia","S181, S-181","Aeromonas encheleia","Aeromonas encheleia Esteve et al. 1995",20215,73010,"species",28,4328,9,23255,NA,NA,NA,"facultative anaerobe",119022,"chemoorganotroph",23255,"GCA_000819825",73010.3,2639762835,66792,60,4328,-0.159186
4196,"DSM 16960, ATCC BAA-758, JCM 12091","Aeropyrum camini","SY1","Aeropyrum camini","Aeropyrum camini Nakagawa et al. 2004",20215,229980,"species",85,6671,7.65,23223,NA,NA,NA,"aerobe",23223,"heterotroph",23223,"GCA_000591035",1198449.6,2554235461,66792,54.4,6671,-0.187659
4195,"DSM 11879, JCM 9820, ATCC 700893, NBRC 100138","Aeropyrum pernix","K1","Aeropyrum pernix","Aeropyrum pernix Sako et al. 1996",20215,56636,"species",90,4521,7,23222,NA,NA,NA,"aerobe",23222,"heterotroph",23222,"GCA_000011125",272557.25,2923402010,66792,67,4521,-0.188564
159185,"DSM 105662, NBRC 112897","Aerosticca soli","Dysh456","Aerosticca soli","Aerosticca soli Watanabe et al. 2020",20215,2010829,"species",45,66008,6.1,68269,NA,NA,NA,"aerobe",68269,"chemoorganotroph",68269,"GCA_003967035",2010829.3,2989055730,68269,68,68269,-0.136954
437,"DSM 15266, KCTC 12043, IMSNU 14007, CIP 108412","Aestuariibacter halophilus","JC2043","Aestuariibacter halophilus","Aestuariibacter halophilus Yi et al. 2004",20215,226011,"species",40,5783,8.5,23286,NA,NA,NA,"obligate aerobe",23286,"chemoheterotroph",23286,"GCA_020687825",226011.4,8047120848,66792,54,23286,-0.139104
438,"DSM 15300, KCTC 12042, IMSNU 14006, CIP 108413","Aestuariibacter salexigens","JC2042","Aestuariibacter salexigens","Aestuariibacter salexigens Yi et al. 2004",20215,226010,"species",35,5834,7.5,23286,NA,NA,NA,"obligate aerobe",23286,"chemoheterotroph",23286,"GCA_000429145",1120953.3,2524614540,66792,48,23286,-0.144426
132534,"DSM 28305, CGMCC 4.7180, NRRL B-59115, JCM 32487","Agromyces binzhouensis","OAct-353, OAct353","Agromyces binzhouensis","Agromyces binzhouensis Chen et al. 2016",20215,1817495,"species",24,43631,6.5,43631,NA,NA,NA,"aerobe",43631,"heterotroph",43631,"GCA_004135055",1817495.5,2866589525,67770,69.6,24323,-0.126032
159616,"DSM 105049, CGMCC 4.7419","Agromyces tardus","SJ-23","Agromyces tardus","Agromyces tardus Sun et al. 2019",20215,2583849,"species",28,66442,8,68199,NA,NA,NA,"aerobe",68199,"heterotroph",68199,"GCA_042655905",NA,NA,124043,71.8,68199,-0.129764
133121,"MCCC 1H00140, KCTC 52228","Algoriphagus resistens","NH1","Algoriphagus resistens","Algoriphagus resistens Han et al. 2017",20215,1750590,"species",25,25311,7,25311,NA,NA,NA,"facultative anaerobe",25311,"heterotroph",25311,"GCA_001442615",NA,2724679001,66792,41.9,67771,-0.173737
166399,"DSM 100707, LMG 29076","Alienimonas californiensis","CA12","Alienimonas californiensis","Alienimonas californiensis Boersma et al. 2021",20215,2527989,"species",20,68541,7,68088,NA,NA,NA,"aerobe",68088,"heterotroph",68088,"GCA_007743815",2527989.3,2883481223,66792,70.1,68088,-0.106726
166424,"MCCC 1H00223, KCTC 52891","Aliidiomarina celeris","F3105","Aliidiomarina celeris","Aliidiomarina celeris Wang et al. 2019",20215,2249428,"species",24.5,67782,8,67782,NA,NA,NA,"facultative anaerobe",67782,"heterotroph",67782,"GCA_003316875",2249428.3,2831692965,67782,49.5,67782,-0.145086
140844,"IBRC-M 10763, CECT 8339","Aliidiomarina iranensis","GBPy7","Aliidiomarina iranensis","Aliidiomarina iranensis Amoozegar et al. 2016",20215,1434071,"species",24.5,43647,8.5,43647,NA,NA,NA,"facultative anaerobe",43647,"heterotroph",43647,"GCA_003987135",1434071.3,2889949872,66792,51.6,43647,-0.144228
140532,"CECT 8340, IBRC-M 10764","Aliidiomarina sedimenti","GBSy1","Aliidiomarina sedimenti","Aliidiomarina sedimenti Shahinpei et al. 2017",20215,1933879,"species",34,43316,8.5,43316,NA,NA,NA,"aerobe",43316,"heterotroph",43316,"GCA_003986955",1933879.3,2890096513,66792,51.2,43316,-0.131668
158280,"DSM 104669, JCM 31859, JAM 119","Aliiroseovarius lamellibrachiae","","Aliiroseovarius lamellibrachiae","Aliiroseovarius lamellibrachiae (Nogi et al. 2017) Zhang et al. 2023",20215,1924933,"species",30,64940,7,65416,NA,NA,NA,"aerobe",65416,"chemoorganotroph",65416,"GCA_018599245",1924933.3,2995433469,66792,57,64940,-0.140869
140294,"DSM 26418, VKM B-2746","Alkaliphilus namsaraevii","X-07-02","Alkaliphilus namsaraevii","Alkaliphilus namsaraevii Zakharyuk et al. 2017",20215,1454184,"species",30,43228,8.85,43228,NA,NA,NA,"aerotolerant",43228,"chemoorganoheterotroph",43228,"",NA,NA,NA,32.6,42901,NA
160373,"DSM 100017, JCM 30644","Alkaliphilus pronyensis","LacV","Alkaliphilus pronyensis","Alkaliphilus pronyensis Postec et al. 2022",20215,1482732,"species",30,67279,9.1,69644,NA,NA,NA,"anaerobe",69644,"organoheterotroph",69644,"GCA_009017275",1482732.3,NA,67770,33.9,67279,-0.211755
160178,"DSM 100337, JCM 30643","Alkaliphilus serpentinus","LacT","Alkaliphilus serpentinus","Alkaliphilus serpentinus Postec et al. 2022",20215,1482731,"species",30,67082,9.05,69644,NA,NA,NA,"anaerobe",69644,"organoheterotroph",69644,"GCA_009017255",1482731.3,NA,67770,37,67082,-0.208978
159775,"JCM 32501, CCTCC AB 2017284","Alsobacter soli","SH9","Alsobacter soli","Alsobacter soli Sun et al. 2018",20215,2109933,"species",27.5,66785,7,66785,NA,NA,NA,"obligate aerobe",66785,"chemoorganotroph",66785,"GCA_003004785",2109933.3,2786546835,67770,68.5,67770,-0.143476
164197,"JCM 32118, CGMCC 1.16739, MCC 3010","Alteribacter natronophilus","M30","Alteribacter natronophilus","Alteribacter natronophilus (Menes et al. 2020) Gupta et al. 2020",20215,2583810,"species",28,67770,10,69523,NA,NA,NA,"obligate aerobe",69523,"heterotroph",69523,"GCA_006007885",2583810.3,2964282322,67770,48.9,67770,-0.157023
449,"DSM 15446, KCTC 12195, KMM 3600, LMG 22532, CIP 108794","Alteromonas addita","R10SW13","Alteromonas stellipolaris","Alteromonas stellipolaris Van Trappen et al. 2004",20215,233316,"species",25,5806,8,23289,NA,NA,NA,"aerobe",23289,"chemoorganotroph",23289,"GCA_001562195",287094.3,2687453643,66792,43,5806,-0.151198
159352,"DSM 106819, ATCC 43554, RCC 5933, CIP 111645","Alteromonas fortis","1, 1T","Alteromonas fortis","Alteromonas fortis Barbeyron et al. 2019",20215,NA,"",25,66175,7.75,68000,NA,NA,NA,"aerobe",68000,"chemoorganotroph",68000,"",NA,NA,NA,43.9,68000,NA
450,"DSM 23844, CCUG 55340, LMG 24078","Alteromonas genovensis","","Alteromonas genovensis","Alteromonas genovensis Vandecandelaere et al. 2008",20215,471225,"species",28,17399,7.25,23290,NA,NA,NA,"aerobe",23290,"heterotroph",23290,"GCA_010500895",471225.5,8068957989,66792,44.5,17399,-0.149863
133345,"CGMCC 1.15735, KCTC 52408, MCCC 1K03175","Alteromonas lipolytica","JW12","Alteromonas lipolytica","Alteromonas lipolytica Shi et al. 2017",20215,1856405,"species",29,25171,7.5,25171,NA,NA,NA,"aerobe",25171,"chemoorganotroph",25171,"GCA_001758465",NA,2834723206,66792,48.4,25171,-0.152037
1403,"DSM 6626, ATCC 51415, IFO 15112, JCM 7361, NBRC 15112, LMG 17667","Amphibacillus xylanus","Ep01","Amphibacillus xylanus","Amphibacillus xylanus Niimura et al. 1990",20215,1449,"species",37,2759,9,23029,NA,NA,NA,"facultative anaerobe",23029,"chemoorganotroph",23029,"GCA_000307165",698758.3,2524023219,66792,36,23029,-0.182584
140873,"CECT 8581, LMG 28208","Ampullimonas aquatilis","B15.09-116","Ampullimonas aquatilis","Ampullimonas aquatilis França et al. 2016",20215,1341549,"species",25,43699,7.25,43699,NA,NA,NA,"obligate aerobe",43699,"organotroph",43699,"GCA_049675895",NA,NA,124043,49.8,43699,-0.158567
140730,"KCTC 52581, CGMCC 1.15880, DSM 108668","Amylibacter cionae","H-12","Amylibacter cionae","Amylibacter cionae Wang et al. 2017",20215,2035344,"species",22.5,43509,7.5,43509,NA,NA,NA,"aerobe",43509,"chemoautolithotroph",43509,"GCA_014643735",2035344.4,3001054348,66792,53.7,43509,-0.14337
132584,"DSM 100423, JCM 30819, SN 021","Anaerocolumna cellulosilytica","","Anaerocolumna cellulosilytica","Anaerocolumna cellulosilytica Ueki et al. 2016",20215,433286,"species",35,43082,7.35,43082,NA,NA,NA,"obligate anaerobe",43082,"chemoorganotroph",43082,"GCA_014202875",433286.3,2861627031,66792,38.1,24373,-0.190364
140570,"JCM 30224, MCCC 1A00776","Anaeromicrobium sediminis","DY2726D","Anaeromicrobium sediminis","Anaeromicrobium sediminis Zhang et al. 2017",20215,1478221,"species",37,43340,7.75,43340,NA,NA,NA,"anaerobe",43340,"heterotroph",43340,"GCA_002270055",1478221.3,2993938144,67770,33.4,43340,-0.211241
132583,"DSM 100431, JCM 30820","Anaerotaenia torta","FH052","Anaerotaenia torta","Anaerotaenia torta Ueki et al. 2016",20215,433293,"species",37.5,43082,7.5,43082,NA,NA,NA,"obligate anaerobe",43082,"chemoorganotroph",43082,"",NA,2861347227,66792,47.2,24372,NA
140747,"JCM 31556, DSM 103575, KCTC 15705","Anaerotignum aminivorans","SH021","Anaerotignum aminivorans","Anaerotignum aminivorans Ueki et al. 2017",20215,433287,"species",27.5,43524,7.15,43524,NA,NA,NA,"obligate anaerobe",43524,"chemoorganotroph",43524,"",NA,NA,NA,38.2,64905,NA
164306,"JCM 32614, KCTC 15718","Ancylomarina euxinus","M1P","Ancylomarina euxinus","Ancylomarina euxinus Yadav et al. 2020",20215,2283627,"species",18,67770,7.5,69631,NA,NA,NA,"facultative anaerobe",69631,"chemoorganoheterotroph",69631,"GCA_003863355",2283627.3,2889681909,67770,35.7,69631,-0.184775
6140,"DSM 4255, ATCC 43788","Annwoodia aquaesulis","","Annwoodia aquaesulis","Annwoodia aquaesulis (Wood and Kelly 1995) Boden et al. 2017",20215,47959,"species",42,1635,8,43206,NA,NA,NA,"anaerobe",43206,"chemolithoautotroph",43206,"",NA,2765235834,66792,65.7,1635,NA
133335,"KACC 17666, JCM 19528","Aquimarina versatilis","CBA3207","Aquimarina versatilis","Aquimarina versatilis Lee et al. 2017",20215,1417658,"species",27.5,25172,7.25,25172,NA,NA,NA,"aerobe",25172,"chemoorganotroph",25172,"",NA,NA,NA,38.8,25172,NA
166171,"BCRC 81010, KCTC 52441","Aquincola rivuli","KYPY4","Rubrivivax rivuli","Rubrivivax rivuli (Sheu et al. 2019) Liu et al. 2023",20215,1862385,"species",32.5,67963,7,67963,NA,NA,NA,"aerobe",67963,"chemoheterotroph",67963,"GCA_004016505",1862385.4,2881028243,66792,70.1,67963,-0.136118
166366,"KCTC 72002, NBRC 114071","Arenibacter lacus","JC631","Arenibacter lacus","Arenibacter lacus Kumar et al. 2020",20215,2608629,"species",30,68316,8,68316,NA,NA,NA,"obligate aerobe",68316,"chemoorganoheterotroph",68316,"GCA_008711145",2608629.3,2891826598,68316,40.8,68316,-0.175416
132622,"DSM 26556, LMG 29166","Arenimicrobium luteum","Ac_12_G8","Arenimicrobium luteum","Arenimicrobium luteum Wüst et al. 2016",20215,1560324,"species",36.3,43144,6.5,43144,NA,NA,NA,"obligate aerobe",43144,"chemoorganoheterotroph",43144,"",NA,NA,NA,66.9,24411,NA
158725,"JCM 32184, MTCC 12637, KCTC 33880","Bacillus alkalilacus","AK73","Alkalihalobacillus alkalilacus","Alkalihalobacillus alkalilacus (Singh et al. 2018) Gupta et al. 2020",20215,1983720,"species",28.5,65472,9.5,65472,NA,NA,NA,"aerobe",65472,"chemoorganotroph",65472,"",NA,NA,NA,54,65472,NA
132385,"DSM 28970, JCM 30397","Bacillus ectoiniformans","NE-14","Bacillus ectoiniformans","Bacillus ectoiniformans Zhu et al. 2016",20215,1494429,"species",27.5,43774,8,43774,NA,NA,NA,"facultative anaerobe",43774,"chemoorganotroph",43774,"GCA_016908875",1494429.3,2901210109,66792,39.2,24174,-0.186531
164467,"JCM 33158, CCAM 530, KCTC 15783","Biomaibacter acetigenes","SK-G1","Biomaibacter acetigenes","Biomaibacter acetigenes Zhang et al. 2019",20215,2316383,"species",55,67770,7.25,68047,NA,NA,NA,"anaerobe",68047,"chemoorganotroph",68047,"GCA_003691585",2316383.3,2893925626,66792,43.9,67770,-0.204312
1786,"DSM 9653, CCUG 55771, ATCC 700366","Bosea thiooxidans","BI-42","Bosea thiooxidans","Bosea thiooxidans Das et al. 1996",20215,53254,"species",28,3671,6,23322,NA,NA,NA,"facultative aerobe",23322,"chemolithoheterotroph",23322,"GCA_900168195",53254.5,2595698224,66792,68.2,23322,-0.154877
132620,"DSM 27934, LMG 28618","Brevitalea aridisoli","Ac_11_E3","Brevitalea aridisoli","Brevitalea aridisoli Wüst et al. 2016",20215,1458336,"species",40.2,43144,6.4,43144,NA,NA,NA,"obligate aerobe",43144,"chemoorganoheterotroph",43144,"",NA,NA,NA,55.9,24409,NA
132621,"DSM 29892, LMG 28995, LMG 29713","Brevitalea deliciosa","Ac_16_C4","Brevitalea deliciosa","Brevitalea deliciosa Wüst et al. 2016",20215,1603870,"species",35.05,43144,6.85,43144,NA,NA,NA,"obligate aerobe",43144,"chemoorganoheterotroph",43144,"",NA,NA,NA,54.7,24410,NA
141,"DSM 22489, LMG 25276, SN 10","Bryocella elongata","","Bryocella elongata","Bryocella elongata Dedysh et al. 2012",20215,863522,"species",20,16359,3.2,23106,NA,NA,NA,"aerobe",23106,"chemoorganotroph",23106,"GCA_900108185",863522.6,2684622995,66792,60.7,16359,-0.135035
18028,"DSM 18901, VKM B-2411, NBRC 117220","Caldicellulosiruptor hydrothermalis","108","Caldicellulosiruptor hydrothermalis","Caldicellulosiruptor hydrothermalis Miroshnichenko et al. 2008",20215,413888,"species",65,7610,7,32271,NA,NA,NA,"anaerobe",7610,"chemoorganoheterotroph",28511,"GCA_000166355",632292.3,649633022,66792,36.4,7610,-0.227934
18029,"DSM 18902, VKM B-2412, NBRC 117221","Caldicellulosiruptor kronotskyensis","2002","Caldicellulosiruptor kronotskyensis","Caldicellulosiruptor kronotskyensis Miroshnichenko et al. 2008",20215,413889,"species",70,7611,7,32271,NA,NA,NA,"anaerobe",7611,"chemoorganoheterotroph",28511,"GCA_000166775",632348.3,649633024,66792,35.1,7611,-0.226014
140656,"ATCC BAA-2073, JCM 16842","Caldicellulosiruptor obsidiansis","OB47","Caldicellulosiruptor obsidiansis","Caldicellulosiruptor obsidiansis Hamilton-Brehm et al. 2010",20215,717609,"species",78,43401,6.5,43401,NA,NA,NA,"obligate anaerobe",43401,"chemoorganoheterotroph",43401,"GCA_000145215",608506.3,648028013,66792,35.2,43401,-0.227569
18027,"DSM 13100, ATCC 700167","Caldicellulosiruptor owensensis","OL","Caldicellulosiruptor owensensis","Caldicellulosiruptor owensensis Huang et al. 1998",20215,55205,"species",70,4904,7.25,43370,NA,NA,NA,"anaerobe",4904,"chemoorganotroph",43370,"GCA_000166335",632518.3,649633025,66792,36.6,4904,-0.226153
132490,"DSM 29380, NBRC 110713","Caldimicrobium thiodismutans","TF1","Caldimicrobium thiodismutans","Caldimicrobium thiodismutans Kojima et al. 2016",20215,1653476,"species",58.5,43669,7.7,43669,NA,NA,NA,"anaerobe",43669,"chemoautolithotroph",43669,"GCA_001548275",1653476.1,2751185666,66792,38.3,43669,-0.247937
2090,"DSM 15908, ANMR 0165, JCM 11604, MCC-UPLB 1331","Caldisphaera lagunensis","IC-154","Caldisphaera lagunensis","Caldisphaera lagunensis Itoh et al. 2003",20215,200415,"species",75,6178,3.85,23168,NA,NA,NA,"anaerobe",6178,"chemoorganotroph",23168,"GCA_000317795",1056495.6,2510065009,66792,31,6178,-0.234401
5500,"DSM 14237, ACAM 630, CIP 107446, LMG 21425","Cellulophaga algicola","IC166","Cellulophaga algicola","Cellulophaga algicola Bowman 2000",20215,59600,"species",15,5265,7.5,43416,NA,NA,NA,"aerobe",43416,"chemoorganotroph",43416,"GCA_000186265",688270.3,649633031,66792,37,5265,-0.185582
5499,"DSM 7489, ATCC 23178, IAM 14306, Cy l20, JCM 8516, CECT 5014, CIP 103822, IFO 14961, KCTC 2913, KCTC 2914, LMG 1344, LMG 8371, NBRC 14961, NCIMB 1423, VKM B-1433, DSM 2039, LMG 14961","Cellulophaga lytica","LIM -21, LIM 21","Cellulophaga lytica","Cellulophaga lytica (Lewin 1969) Johansen et al. 1999",20215,979,"species",28,3188,7.25,43342,NA,NA,NA,"aerobe",43342,"chemoheterotroph",43342,"GCA_000190595",867900.3,649633032,66792,33.2,3188,-0.185492
140658,"NCDO 2697, NCIMB 10462, DSM 16015","Cellvibrio japonicus","Ueda107","Cellvibrio japonicus","Cellvibrio japonicus Humphry et al. 2003",20215,155077,"species",32,43405,7.5,43405,NA,NA,NA,"aerobe",43405,"chemoorganotroph",43405,"",NA,NA,NA,53.3,43405,NA
133181,"BCRC 80923, LMG 29289, KCTC 42982, DSM 107335","Chitinibacter fontanus","STM-7","Chitinibacter fontanus","Chitinibacter fontanus Sheu et al. 2016",20215,1737446,"species",26,24960,7,24960,NA,NA,NA,"aerobe",24960,"chemoorganotroph",24960,"GCA_013423785",1737446.3,2927923272,66792,52.4,24960,-0.159716
133098,"DSM 29225, JCM 30533, VKM B-2978","Chloroflexus islandicus","isl-2","Chloroflexus islandicus","Chloroflexus islandicus Gaisin et al. 2017",20215,1707952,"species",52.5,43175,7.6,43175,NA,NA,NA,"aerobe",43175,"photoheterotroph",43175,"GCA_001650695",1707952.4,2775507287,67770,59.65,43175,-0.158761
140621,"NBRC 106750, KCTC 13722, JCM 16712, CCUG 59101","Chryseomicrobium palamuruense","PU1","Chryseomicrobium palamuruense","Chryseomicrobium palamuruense Pindi et al. 2016",20215,682973,"species",37,43143,8.5,43143,NA,NA,NA,"aerobe",43143,"chemoorganotroph",43143,"GCA_042649045",NA,NA,124043,48.5,67770,-0.180449
163760,"JCM 30318, LMG 30359","Chryseotalea sanaruensis","Ys","Chryseotalea sanaruensis","Chryseotalea sanaruensis Maejima et al. 2020",20215,2482724,"species",30,67770,8.5,68059,NA,NA,NA,"aerobe",68059,"heterotroph",68059,"GCA_003990915",2482724.3,2882207491,68059,38.9,67770,-0.184109
24814,"DSM 22515","Chthoniobacter flavus","Ellin428","Chthoniobacter flavus","Chthoniobacter flavus Sangwan et al. 2004",20215,191863,"species",25,21325,5.5,43403,NA,NA,NA,"aerobe",43403,"heterotroph",43403,"GCA_004341915",191863.3,2795385450,66792,60.7,43403,-0.138243
133409,"JCM 30603, KCTC 42450","Chthonobacter albigriseus","ED7","Chthonobacter albigriseus","Chthonobacter albigriseus Kim et al. 2017",20215,1683161,"species",31,25245,7.75,25245,NA,NA,NA,"aerobe",25245,"oligotroph",25245,"GCA_013839445",1683161.3,2994720383,67770,71.8,67770,-0.146019
158415,"DSM 104983, VKM B-2846","Cohnella kolymensis","20.16T","Cohnella kolymensis","Cohnella kolymensis Kudryashova et al. 2018",20215,1590652,"species",30,65091,6,66651,NA,NA,NA,"facultative anaerobe",66651,"chemoorganotroph",66651,"GCA_000829465",1590652.3,2630968607,124043,50.5,66651,-0.167233
132361,"DSM 26017, CGMCC 1.12294","Comamonas phosphati","WYH22-41","Comamonas phosphati","Comamonas phosphati Xie et al. 2016",20215,1211803,"species",30,44040,7,44040,NA,NA,NA,"facultative anaerobe",44040,"chemoorganotroph",44040,"GCA_014637085",1211803.3,2995906363,66792,62.4,24150,-0.141718
140817,"KEMB 563-466, JCM 31169","Comamonas sediminis","S3","Comamonas sediminis","Comamonas sediminis Subhash et al. 2016",20215,1783360,"species",28.5,43607,7.45,43607,NA,NA,NA,"aerobe",43607,"chemoorganoheterotroph",43607,"GCA_041107495",NA,NA,124043,68.3,43607,-0.14099
